x,y,z
-0.0034253746,-0.21699624,0.013426781
0.051479794,-0.13059166,0.015945435
-0.05366066,-0.13048969,0.016036034
-0.0072316006,-0.31824526,0.039482117
0.09925835,0.24896488,-0.038653374
-0.107291766,0.25011554,-0.0705204
-0.0078578275,-0.46087593,0.026506424
0.061895333,0.5953479,0.1724348
-0.042796373,0.61875165,0.08741665
-0.008405788,-0.5122199,0.006939888
0.09303609,0.69713926,0.09230423
-0.075469546,0.7017139,-0.010852814
-0.008587422,-0.718768,0.018510818
0.06388036,-0.62771237,0.021447182
-0.07782297,-0.6274907,0.03308201
-0.0039323773,-0.7907052,-0.02960968
0.15022269,-0.6420325,0.009739876
-0.16705607,-0.65605325,0.028897285
0.20644113,-0.38872337,-0.035398483
-0.25060415,-0.42928603,-0.0466671
0.18961416,-0.37342814,-0.28434277
-0.22891149,-0.48423693,-0.2972145
0.19343324,-0.3602685,-0.3659172
-0.22487105,-0.4982639,-0.3778553
